sample	contig	length_bp	gc_pct	score	max_possible	confidence	circular_flag	assembler_not_circular	header_copy_number	hairpin_identity	hairpin_found	cov_left_ratio	cov_right_ratio	tip_left_ratio	tip_right_ratio	cov_drop_left	cov_drop_right	tip_drop_left	tip_drop_right	body_mean_depth	asymmetric_pelf	bam_asymmetric	has_tp_gene	copy_number_est	gfa_topology	gfa_linear	skani_hit	skani_linear_db_hit	skani_top_hit	skani_identity	skani_coverage	blast_hit	blast_top_hit	partition_genes	repb_rep2	enterococcal_markers	is_elements	tas_systems	tp_genes	score_breakdown
51561019	plasmid00002	101947	34.26	63	304	MEDIUM		False	1.75	0.32	False	1.23	1.122	0.615	0.279	False	False	False	False	76.1	False	False	False	1.84	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	99.61	83.26	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
51561019	plasmid00003	43413	34.78	53	304	MEDIUM	True	False	2.37	0.294	False	1.132	0.874	0.339	0.0	False	False	False	True	86.8	False	False	False	2.08	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.37	44.36	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51561019	plasmid00004	40886	35.71	28	304	LOW	True	False	0.94	0.296	False	6.042	0.939	0.0	0.0	False	False	True	True	1.7	False	False	False	0.1	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'coverage_drop_ends': 10}
51561019	plasmid00001	216355	35.03	23	304	LOW	True	False	1.71	0.284	False	0.816	1.066	0.32	0.305	False	False	False	False	67.6	False	False	False	1.6	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51561019	chromosome00001	2856102	38.03	15	304	LOW		False		0.26	False	0.0	0.0	0.0	0.0	True	True	True	True	42.2	False	False	False	1.0	unknown	False	False	False		0		False								{'coverage_drop_ends': 10, 'copy_number_low': 5}
51565239	plasmid00002	119379	34.73	73	304	HIGH		False	1.5	0.256	False	0.127	0.179	0.068	0.123	True	True	True	False	187.7	False	False	False	1.63	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.94	74.92	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51565239	plasmid00003	28103	35.33	53	304	MEDIUM	True	False	1.41	0.262	False	0.456	0.391	0.262	0.249	True	True	False	False	148.4	False	False	False	1.45	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	94.85	39.64	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51565239	plasmid00004	6625	31.77	46	304	MEDIUM		False	0.48	0.26	False	1.0	1.0	0.0	0.0	False	False	True	True	1	False	False	False	0.01	unknown	False	False	False		0		False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'gc_deviation': 8, 'coverage_drop_ends': 10}
51565239	plasmid00001	214743	35.07	33	304	LOW	True	False	1.47	0.284	False	0.214	0.123	0.123	0.075	True	True	False	True	188.6	False	False	False	1.62	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51565239	chromosome00001	2934159	38.01	15	304	LOW	True	False		0.292	False	0.224	0.216	0.128	0.158	True	True	False	False	117.5	False	False	False	1.0	unknown	False	False	False		0		False								{'coverage_drop_ends': 10, 'copy_number_low': 5}
51575324	plasmid00002	150293	34.41	58	304	MEDIUM		False	3.44	0.308	False	1.236	0.982	0.472	0.349	False	False	False	False	147.0	False	False	False	3.62	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	99.2	64.88	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20}
51575324	plasmid00001	246393	35.7	23	304	LOW	True	False	1.87	0.284	False	0.942	0.885	0.141	0.363	False	False	False	False	74.4	False	False	False	1.81	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51575456	plasmid00002	124168	34.46	63	304	MEDIUM		False	1.66	0.322	False	1.264	1.203	0.668	0.497	False	False	False	False	41.5	False	False	False	1.78	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.72	77.19	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
51575456	plasmid00003	39425	34.46	53	304	MEDIUM	True	False	3.14	0.268	False	1.246	0.911	0.109	0.03	False	False	False	True	33.6	False	False	False	1.45	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	93.99	37.6	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51575456	plasmid00001	234406	35.54	23	304	LOW	True	False	1.87	0.284	False	1.024	0.9	0.245	0.332	False	False	False	False	46.7	False	False	False	1.95	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51579387	plasmid00002	130446	34.35	73	304	HIGH		False	1.4	0.278	False	0.495	0.0	0.112	0.0	True	True	False	True	271.2	False	False	False	1.55	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.74	78.57	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51579387	plasmid00003	39425	34.46	53	304	MEDIUM	True	False	2.76	0.268	False	1.202	0.766	0.263	0.064	False	False	False	True	284.5	False	False	False	1.67	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	93.99	37.6	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51579387	plasmid00001	234406	35.54	23	304	LOW	True	False	1.5	0.284	False	0.906	0.938	0.346	0.344	False	False	False	False	239.5	False	False	False	1.39	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51581625	plasmid00002	124168	34.45	73	304	HIGH		False	1.48	0.322	False	1.137	0.444	0.371	0.087	False	True	False	True	167.7	False	False	False	1.4	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	97.41	76.65	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51581625	plasmid00003	16974	33.88	53	304	MEDIUM	True	False	2.63	0.266	False	1.245	1.04	0.311	0.0	False	False	False	True	199.4	False	False	False	1.89	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	98.52	53.85	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51581625	plasmid00001	232541	35.53	23	304	LOW	True	False	1.77	0.284	False	0.958	0.915	0.41	0.376	False	False	False	False	164.7	False	False	False	1.39	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51586111	plasmid00002	100856	34.28	88	304	HIGH		False	1.58	0.286	False	0.365	1.145	0.071	0.212	True	False	True	False	87.4	True	True	False	1.65	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	97.57	79.12	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'asymmetric_ends': 15, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51586111	plasmid00004	29523	35.1	53	304	MEDIUM	True	False	1.33	0.286	False	1.024	0.789	0.325	0.0	False	False	False	True	81.5	False	False	False	1.56	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	93.7	38.79	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51586111	plasmid00003	34952	35.29	43	304	MEDIUM	True	False	2.23	0.272	False	0.6	0.848	0.243	0.107	False	False	False	False	129.7	False	False	False	2.35	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	97.73	40.71	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
51586111	plasmid00001	217056	35.06	23	304	LOW	True	False	1.45	0.284	False	0.862	1.08	0.438	0.358	False	False	False	False	70.4	False	False	False	1.36	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51587501	plasmid00002	156538	34.67	73	304	HIGH		False	1.69	0.302	False	1.13	0.389	0.145	0.076	False	True	False	True	167.8	False	False	False	1.71	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.29	59.19	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51587501	plasmid00003	28103	35.33	48	304	MEDIUM	True	False	3.78	0.294	False	1.229	1.167	0.157	0.0	False	False	False	True	349.9	False	False	False	3.99	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	96.42	39.64	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10}
51587501	plasmid00001	220346	35.1	23	304	LOW	True	False	1.54	0.284	False	0.845	1.068	0.322	0.383	False	False	False	False	139.8	False	False	False	1.44	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51587501	plasmid00005	5885	35.99	20	304	LOW		False	5.1	0.296	False	1.591	1.617	0.21	0.315	False	False	False	False	334.6	False	False	False	5.59	unknown	False	False	False		0		False								{'circular_flag_absent': 20}
51600266	plasmid00002	89736	33.39	88	304	HIGH		False	1.44	0.282	False	0.499	1.25	0.092	0.234	True	False	True	False	234.7	True	True	False	1.53	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	99.71	97.57	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'asymmetric_ends': 15, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51600266	plasmid00003	52397	35.95	48	304	MEDIUM	True	False	3.21	0.244	False	0.867	0.561	0.26	0.0	False	False	False	True	609.8	False	False	False	3.85	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	96.66	55.2	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10}
51600266	plasmid00001	221435	35.15	23	304	LOW	True	False	2.51	0.284	False	0.825	1.067	0.326	0.465	False	False	False	False	356.0	False	False	False	2.34	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
KresLRE-119	plasmid00002	129726	34.35	73	304	HIGH		False	1.44	0.268	False	1.249	0.154	0.689	0.0	False	True	False	True	92.2	False	False	False	1.71	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	96.79	71.2	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-119	plasmid00005	27178	36.19	53	304	MEDIUM	True	False	2.54	0.282	False	1.21	0.967	0.046	0.0	False	False	True	True	90.7	False	False	False	1.74	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	98.07	71.96	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-119	plasmid00004	28417	36.41	43	304	MEDIUM	True	False	1.41	0.272	False	0.91	1.37	0.513	0.23	False	False	False	False	54.8	False	False	False	1.09	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	96.0	42.37	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
KresLRE-119	plasmid00001	225518	35.25	23	304	LOW	True	False	1.54	0.284	False	0.86	0.875	0.319	0.337	False	False	False	False	90.1	False	False	False	1.65	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
KresLRE-119	plasmid00003	53970	35.79	23	304	LOW	True	False	1.64	0.256	False	0.903	0.862	0.143	0.175	False	False	False	False	73.5	False	False	False	1.33	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
KresLRE-157	plasmid00002	131005	34.21	63	304	MEDIUM		False	1.6	0.32	False	1.238	1.208	0.149	0.568	False	False	False	False	173.3	False	False	False	2.09	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.15	69.72	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
KresLRE-157	plasmid00003	29113	35.51	53	304	MEDIUM	True	False	2.23	0.238	False	1.287	0.892	0.536	0.0	False	False	False	True	95.9	False	False	False	1.18	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	98.02	65.69	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-157	plasmid00001	244021	35.74	23	304	LOW	True	False	1.67	0.284	False	0.85	0.87	0.3	0.353	False	False	False	False	166.7	False	False	False	1.96	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
KresLRE-28	plasmid00002	102492	33.74	73	304	HIGH		False	1.67	0.288	False	1.396	1.16	0.047	0.068	False	False	True	True	605.6	False	False	False	2.07	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	97.6	76.97	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-28	plasmid00003	74859	34.32	73	304	HIGH		False	0.97	0.276	False	0.903	1.816	0.026	0.538	False	False	True	False	161.2	False	False	False	0.57	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	99.71	17.65	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-28	plasmid00006	10005	34.96	68	304	MEDIUM		False	0.96	0.294	False	185.362	17.927	474.869	0.0	False	False	False	True	1	False	False	False	0.35	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	100.0	55.52	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10}
KresLRE-28	plasmid00001	246464	35.62	53	304	MEDIUM	True	False	1.39	0.284	False	0.792	0.541	0.071	0.019	False	False	True	True	337.0	False	False	False	1.11	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	93.71	9.09	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-28	plasmid00004	37151	35.51	53	304	MEDIUM	True	False	2.02	0.25	False	2.404	1.356	0.139	0.04	False	False	False	True	347.5	False	False	False	1.51	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	94.4	31.61	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-28	plasmid00005	34276	36.1	28	304	LOW	True	False	2.79	0.272	False	0.948	0.002	0.0	0.0	False	True	True	True	1030.9	False	False	False	3.15	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'coverage_drop_ends': 10}
KresLRE-28	chromosome00001	2775267	38.0	15	304	LOW		False		0.284	False	0.008	0.206	0.0	0.0	True	True	True	True	301.0	False	False	False	1.0	unknown	False	False	False		0		False								{'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-35	plasmid00003	103491	33.42	73	304	HIGH		False	1.23	0.312	False	1.532	1.454	0.011	0.134	False	False	True	False	347.3	False	False	False	1.29	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	97.69	82.48	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-35	plasmid00004	71676	34.2	68	304	MEDIUM	True	False	1.22	0.302	False	0.452	0.674	0.046	0.0	True	False	True	True	243.4	True	True	False	0.81	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.44	16.27	False								{'header_copy_number': 8, 'asymmetric_ends': 15, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-35	plasmid00001	175392	35.51	53	304	MEDIUM		False	1.52	0.24	False	1.02	1.496	0.062	0.311	False	False	True	False	346.3	False	False	False	1.25	unknown	False	False	False		0		False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-35	plasmid00002	132201	35.38	53	304	MEDIUM		False	1.29	0.224	False	0.89	0.586	0.175	0.038	False	False	False	True	313.9	False	False	False	1.09	unknown	False	False	False		0		False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-35	plasmid00005	32752	34.86	53	304	MEDIUM	True	False	2.67	0.282	False	1.615	1.393	0.349	0.002	False	False	False	True	581.3	False	False	False	2.4	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	97.07	62.61	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE-35	chromosome00001	2711460	38.08	15	304	LOW	True	False		0.292	False	0.972	1.085	0.35	0.046	False	False	False	True	282.4	False	False	False	1.0	unknown	False	False	False		0		False								{'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE103	plasmid00002	139928	34.26	63	304	MEDIUM		False	1.85	0.284	False	1.383	0.966	0.236	0.511	False	False	False	False	747.0	False	False	False	2.24	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	96.37	63.13	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
KresLRE103	plasmid00003	71695	34.2	43	304	MEDIUM	True	False	1.44	0.198	False	1.056	1.025	0.243	0.222	False	False	False	False	631.3	False	False	False	1.88	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.54	16.42	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
KresLRE103	plasmid00004	11638	32.62	38	304	LOW	True	False	2.99	0.26	False	1.01	1.288	0.349	0.284	False	False	False	False	1168.3	False	False	False	4.07	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	100.0	16.18	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20}
KresLRE103	plasmid00001	180110	35.4	23	304	LOW	True	False	1.46	0.284	False	0.845	0.869	0.331	0.27	False	False	False	False	528.0	False	False	False	1.55	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
KresLRE103	chromosome00001	2863269	38.06	15	304	LOW		False		0.292	False	0.008	0.005	0.0	0.006	True	True	True	True	338.8	False	False	False	1.0	unknown	False	False	False		0		False								{'coverage_drop_ends': 10, 'copy_number_low': 5}
KresLRE105	contig00002	125962	33.43	68	304	MEDIUM		False		0.254	False	1.688	0.014	0.377	0.0	False	True	False	True	256.8	False	False	False	na	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.67	69.43	False								{'circular_flag_absent': 20, 'size_range': 10, 'gc_deviation': 8, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10}
KresLRE105	contig00008	9336	34.3	58	304	MEDIUM		False		0.29	False	1.79	1.803	0.397	0.0	False	False	False	True	231.4	False	False	False	na	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	100.0	40.87	False								{'circular_flag_absent': 20, 'gc_deviation': 8, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10}
KresLRE105	contig00001	38437	38.44	55	304	MEDIUM		False		0.286	False	0.011	1.655	0.002	0.469	True	False	True	False	501.8	True	True	False	na	unknown	False	False	False		0		False								{'circular_flag_absent': 20, 'asymmetric_ends': 15, 'size_range': 10, 'coverage_drop_ends': 10}
